,eye_to_eye,eye_width,lip_to_chin,face_width,eyebrow_width,face_height,nose_width,mouth_width,lip_to_nose
GyuseungKyeong:1,0.60659,0.84433,0.17473,0.31497,0.05844,1.0,0.37294,0.43512,0.17407
GyuseungKyeong:2,0.67471,0.95712,0.19845,0.3687,0.06168,1.0,0.44941,0.53248,0.16256
GyuseungKyeong:3,0.5475,0.77295,0.20055,0.28634,0.05422,1.0,0.36095,0.45304,0.18315
daesung:1,0.45481,0.65348,0.23623,0.25962,0.06647,1.0,0.26249,0.38874,0.16433
daesung:2,0.62668,0.90932,0.23493,0.3658,0.06625,1.0,0.38984,0.51079,0.17026
daesung:3,0.96575,1.40069,0.20799,0.48755,0.05828,1.0,0.63143,0.7917,0.21791
eunjeeshin:1,0.4624,0.67167,0.1851,0.25055,0.05229,1.0,0.30788,0.41366,0.1062
eunjeeshin:2,0.48376,0.68515,0.15561,0.21762,0.05309,1.0,0.29768,0.3972,0.1331
eunjeeshin:3,0.54073,0.80888,0.24407,0.27339,0.03757,1.0,0.31551,0.52782,0.21031
gayeong:1,0.56446,0.81586,0.21621,0.30061,0.05084,1.0,0.34498,0.40002,0.22092
jppark:2,0.7221,1.05173,0.21588,0.37832,0.05255,1.0,0.43871,0.4889,0.18597
jppark:3,0.75332,1.06288,0.17135,0.38186,0.06152,1.0,0.38356,0.5311,0.1772
kimsoohyun:1,0.31702,0.45107,0.25671,0.17002,0.06413,1.0,0.19088,0.22673,0.20541
kimsoohyun:2,0.27322,0.38241,0.2429,0.15363,0.0468,1.0,0.16854,0.20191,0.1979
kimsoohyun:3,0.50424,0.70781,0.21859,0.28452,0.05449,1.0,0.328,0.40702,0.18121
kimtaeyoun:1,0.59968,0.8401,0.27164,0.36565,0.05915,1.0,0.37888,0.52094,0.22911
kimtaeyoun:2,0.61046,0.87001,0.24531,0.4046,0.04714,1.0,0.42776,0.57834,0.20858
kimtaeyoun:3,0.38602,0.52254,0.27999,0.22783,0.05477,1.0,0.25485,0.29916,0.23352
namyoung:1,0.19959,0.28174,0.26642,0.10167,0.061,1.0,0.10865,0.13624,0.20234
namyoung:2,0.61656,0.8752,0.19844,0.35777,0.07027,1.0,0.35495,0.40052,0.20046
namyoung:3,0.30956,0.4261,0.30989,0.15588,0.06017,1.0,0.18754,0.21604,0.20479
wonbin:1,0.41797,0.59976,0.22216,0.25496,0.06405,1.0,0.24684,0.32625,0.19109
wonbin:2,0.44405,0.63212,0.23827,0.26068,0.05839,1.0,0.28054,0.36972,0.17911
wonbin:3,0.30699,0.42677,0.25919,0.18422,0.06314,1.0,0.17569,0.25036,0.21376
